縣市名稱,鄉鎮市區,街路聚落名稱
臺北市,中山區,中山北路４段
臺北市,中山區,中原街
臺北市,中山區,五常街
臺北市,中山區,內湖路１段
臺北市,中山區,天祥路
臺北市,中山區,北安路
臺北市,中山區,四平街
臺北市,中山區,民生東路１段
臺北市,中山區,民生東路２段
臺北市,中山區,民生東路３段
臺北市,中山區,民族東路
臺北市,中山區,民權東路１段
臺北市,中山區,民權東路２段
臺北市,中山區,民權東路３段
臺北市,中山區,玉門街
臺北市,中山區,伊通街
臺北市,中山區,吉林路
臺北市,中山區,合江街
臺北市,中山區,安東街
臺北市,中山區,朱崙街
臺北市,中山區,明水路
臺北市,中山區,松江路
臺北市,中山區,長安東路１段
臺北市,中山區,長安東路２段
臺北市,中山區,長春路
臺北市,中山區,南京東路１段
臺北市,中山區,南京東路２段
臺北市,中山區,南京東路３段
臺北市,中山區,建國北路１段
臺北市,中山區,建國北路２段
臺北市,中山區,建國北路３段
臺北市,中山區,建國南路１段
臺北市,中山區,基湖路
臺北市,中山區,崇實路
臺北市,中山區,通北街
臺北市,中山區,堤頂大道２段
臺北市,中山區,復興北路
臺北市,中山區,復興南路１段
臺北市,中山區,植福路
臺北市,中山區,渭水路
臺北市,中山區,敬業一路
臺北市,中山區,敬業二路
臺北市,中山區,敬業三路
臺北市,中山區,敬業四路
臺北市,中山區,新生北路１段
臺北市,中山區,新生北路２段
臺北市,中山區,新生北路３段
臺北市,中山區,農安街
臺北市,中山區,劍南路
臺北市,中山區,德惠街
臺北市,中山區,樂群二路
臺北市,中山區,樂群三路
臺北市,中山區,興安街
臺北市,中山區,遼寧街
臺北市,中山區,錦州街
臺北市,中山區,龍江路
臺北市,中山區,濱江街
臺北市,中山區,雙城街
臺北市,松山區,八德路３段
臺北市,松山區,八德路４段
臺北市,松山區,三民路
臺北市,松山區,北寧路
臺北市,松山區,市民大道４段
臺北市,松山區,市民大道５段
臺北市,松山區,市民大道６段
臺北市,松山區,民生東路４段
臺北市,松山區,民生東路５段
臺北市,松山區,民權東路４段
臺北市,松山區,民權東路５段
臺北市,松山區,光復北路
臺北市,松山區,光復南路
臺北市,松山區,吉祥路
臺北市,松山區,延吉街
臺北市,松山區,延壽街
臺北市,松山區,東寧路
臺北市,松山區,東興路
臺北市,松山區,松山路
臺北市,松山區,松河街
臺北市,松山區,虎林街
臺北市,松山區,南京東路４段
臺北市,松山區,南京東路５段
臺北市,松山區,健康路
臺北市,松山區,基隆路１段
臺北市,松山區,富錦街
臺北市,松山區,敦化北路
臺北市,松山區,敦化南路１段
臺北市,松山區,塔悠路
臺北市,松山區,新中街
臺北市,松山區,新東街
臺北市,松山區,寧安街
臺北市,松山區,慶城街
臺北市,松山區,撫遠街
臺北市,松山區,寶清街
臺北市,松山區,饒河街
臺北市,大安區,大安路１段
臺北市,大安區,大安路２段
臺北市,大安區,仁愛路３段
臺北市,大安區,仁愛路４段
臺北市,大安區,文昌街
臺北市,大安區,四維路
臺北市,大安區,永康街
臺北市,大安區,安和路１段
臺北市,大安區,安和路２段
臺北市,大安區,安居街
臺北市,大安區,辛亥路２段
臺北市,大安區,辛亥路３段
臺北市,大安區,和平東路１段
臺北市,大安區,和平東路２段
臺北市,大安區,和平東路３段
臺北市,大安區,忠孝東路３段
臺北市,大安區,忠孝東路４段
臺北市,大安區,東豐街
臺北市,大安區,臥龍街
臺北市,大安區,芳蘭路
臺北市,大安區,金山南路２段
臺北市,大安區,長興街
臺北市,大安區,青田街
臺北市,大安區,信義路３段
臺北市,大安區,信義路４段
臺北市,大安區,建國南路２段
臺北市,大安區,泰順街
臺北市,大安區,浦城街
臺北市,大安區,基隆路２段
臺北市,大安區,基隆路３段
臺北市,大安區,基隆路４段
臺北市,大安區,通化街
臺北市,大安區,通安街
臺北市,大安區,富陽街
臺北市,大安區,復興南路２段
臺北市,大安區,敦化南路２段
臺北市,大安區,敦南街
臺北市,大安區,雲和街
臺北市,大安區,新生南路２段
臺北市,大安區,新生南路３段
臺北市,大安區,溫州街
臺北市,大安區,瑞安街
臺北市,大安區,嘉興街
臺北市,大安區,樂利路
臺北市,大安區,樂業街
臺北市,大安區,龍泉街
臺北市,大安區,濟南路３段
臺北市,大安區,臨江街
臺北市,大安區,麗水街
臺北市,萬華區,三水街
臺北市,萬華區,大理街
臺北市,萬華區,內江街
臺北市,萬華區,民和街
臺北市,萬華區,永福街
臺北市,萬華區,成都路
臺北市,萬華區,西昌街
臺北市,萬華區,西園路１段
臺北市,萬華區,西園路２段
臺北市,萬華區,西寧南路
臺北市,萬華區,和平西路３段
臺北市,萬華區,昆明街
臺北市,萬華區,東園街
臺北市,萬華區,武成街
臺北市,萬華區,武昌街２段
臺北市,萬華區,長沙街２段
臺北市,萬華區,長泰街
臺北市,萬華區,長順街
臺北市,萬華區,青年路
臺北市,萬華區,南寧路
臺北市,萬華區,柳州街
臺北市,萬華區,洛陽街
臺北市,萬華區,峨眉街
臺北市,萬華區,桂林路
臺北市,萬華區,國興路
臺北市,萬華區,康定路
臺北市,萬華區,梧州街
臺北市,萬華區,富民路
臺北市,萬華區,華西街
臺北市,萬華區,貴陽街２段
臺北市,萬華區,開封街２段
臺北市,萬華區,隆昌街
臺北市,萬華區,雅江街
臺北市,萬華區,萬大路
臺北市,萬華區,萬青街
臺北市,萬華區,漢口街２段
臺北市,萬華區,漢中街
臺北市,萬華區,艋舺大道
臺北市,萬華區,德昌街
臺北市,萬華區,興義街
臺北市,萬華區,興寧街
臺北市,萬華區,環河南路１段
臺北市,萬華區,環河南路２段
臺北市,萬華區,環河南路３段
臺北市,萬華區,雙和街
臺北市,萬華區,雙園街
臺北市,萬華區,寶興街
臺北市,信義區,大道路
臺北市,信義區,中坡北路
臺北市,信義區,中坡南路
臺北市,信義區,市府路
臺北市,信義區,永吉路
臺北市,信義區,吳興街
臺北市,信義區,忠孝東路５段
臺北市,信義區,林口街
臺北市,信義區,松仁路
臺北市,信義區,松平路
臺北市,信義區,松信路
臺北市,信義區,松勇路
臺北市,信義區,松高路
臺北市,信義區,松智路
臺北市,信義區,松隆路
臺北市,信義區,松勤街
臺北市,信義區,松廉路
臺北市,信義區,松壽路
臺北市,信義區,松德路
臺北市,信義區,青雲街
臺北市,信義區,信安街
臺北市,信義區,信義路５段
臺北市,信義區,信義路６段
臺北市,信義區,崇德街
臺北市,信義區,祥雲街
臺北市,信義區,莊敬路
臺北市,信義區,景雲街
臺北市,信義區,紫雲街
臺北市,信義區,菸廠路
臺北市,信義區,逸仙路
臺北市,信義區,瑞雲街
臺北市,信義區,福德街
臺北市,士林區,力行街
臺北市,士林區,下樹林街
臺北市,士林區,士東路
臺北市,士林區,士商路
臺北市,士林區,大北路
臺北市,士林區,大光街
臺北市,士林區,大西路
臺北市,士林區,大亨路
臺北市,士林區,大東路
臺北市,士林區,大南路
臺北市,士林區,小北街
臺北市,士林區,小西街
臺北市,士林區,小東街
臺北市,士林區,小南街
臺北市,士林區,中山北路５段
臺北市,士林區,中山北路６段
臺北市,士林區,中山北路７段
臺北市,士林區,中正路
臺北市,士林區,中社路１段
臺北市,士林區,中社路２段
臺北市,士林區,中庸一路
臺北市,士林區,中庸二路
臺北市,士林區,中庸五路
臺北市,士林區,中華路
臺北市,士林區,中興街
臺北市,士林區,仁民路
臺北市,士林區,天母北路
臺北市,士林區,天母西路
臺北市,士林區,天母東路
臺北市,士林區,天玉街
臺北市,士林區,文昌路
臺北市,士林區,文林路
臺北市,士林區,平菁街
臺北市,士林區,永公路
臺北市,士林區,永平街
臺北市,士林區,仰德大道１段
臺北市,士林區,仰德大道２段
臺北市,士林區,仰德大道３段
臺北市,士林區,仰德大道４段
臺北市,士林區,光華路
臺北市,士林區,安平街
臺北市,士林區,竹子湖路
臺北市,士林區,自祥街
臺北市,士林區,至善路１段
臺北市,士林區,至善路２段
臺北市,士林區,至善路３段
臺北市,士林區,至誠路１段
臺北市,士林區,至誠路２段
臺北市,士林區,克強路
臺北市,士林區,志成街
臺北市,士林區,和平路
臺北市,士林區,和豐街
臺北市,士林區,幸福街
臺北市,士林區,延平北路５段
臺北市,士林區,延平北路６段
臺北市,士林區,延平北路７段
臺北市,士林區,延平北路８段
臺北市,士林區,延平北路９段
臺北市,士林區,忠勇街
臺北市,士林區,忠義街
臺北市,士林區,忠誠路１段
臺北市,士林區,忠誠路２段
臺北市,士林區,承德路４段
臺北市,士林區,承德路５段
臺北市,士林區,明溪街
臺北市,士林區,東山路
臺北市,士林區,社子街
臺北市,士林區,社中街
臺北市,士林區,社正路
臺北市,士林區,芝玉路１段
臺北市,士林區,芝玉路２段
臺北市,士林區,長春街
臺北市,士林區,雨農路
臺北市,士林區,雨聲街
臺北市,士林區,前港街
臺北市,士林區,前街
臺北市,士林區,建業路
臺北市,士林區,後港街
臺北市,士林區,後街
臺北市,士林區,故宮路
臺北市,士林區,美崙街
臺北市,士林區,美德街
臺北市,士林區,重慶北路４段
臺北市,士林區,倫等街
臺北市,士林區,格致路
臺北市,士林區,國泰街
臺北市,士林區,基河路
臺北市,士林區,莊頂路
臺北市,士林區,通河西街２段
臺北市,士林區,通河東街１段
臺北市,士林區,通河東街２段
臺北市,士林區,通河街
臺北市,士林區,凱旋路
臺北市,士林區,菁山路
臺北市,士林區,華光街
臺北市,士林區,華岡路
臺北市,士林區,華榮街
臺北市,士林區,華興街
臺北市,士林區,華聲街
臺北市,士林區,華齡街
臺北市,士林區,貴富街
臺北市,士林區,陽明路１段
臺北市,士林區,陽明路２段
臺北市,士林區,愛富一街
臺北市,士林區,愛富二街
臺北市,士林區,愛富二街厚生巷
臺北市,士林區,愛富二街樂生巷
臺北市,士林區,愛富三街
臺北市,士林區,愛富三街長生巷
臺北市,士林區,新安路
臺北市,士林區,新園街
臺北市,士林區,葫東街
臺北市,士林區,葫蘆街
臺北市,士林區,福志路
臺北市,士林區,福林路
臺北市,士林區,福國路
臺北市,士林區,福港街
臺北市,士林區,福華路
臺北市,士林區,福壽街
臺北市,士林區,福榮街
臺北市,士林區,福德路
臺北市,士林區,翠山街
臺北市,士林區,劍潭路
臺北市,士林區,德行西路
臺北市,士林區,德行東路
臺北市,士林區,環河北路３段
臺北市,士林區,磺溪街
臺北市,士林區,臨溪路
臺北市,士林區,雙溪街
臺北市,北投區,一心路
臺北市,北投區,一德街
臺北市,北投區,七星街
臺北市,北投區,三合街１段
臺北市,北投區,三合街２段
臺北市,北投區,大屯路
臺北市,北投區,大屯路光華一巷
臺北市,北投區,大屯路光華二巷
臺北市,北投區,大屯路光華三巷
臺北市,北投區,大屯路光華四巷
臺北市,北投區,大同街
臺北市,北投區,大度路
臺北市,北投區,大度路３段
臺北市,北投區,大度路怡和巷
臺北市,北投區,大業路
臺北市,北投區,大興街
臺北市,北投區,中山路
臺北市,北投區,中心街
臺北市,北投區,中央北路１段
臺北市,北投區,中央北路２段
臺北市,北投區,中央北路３段
臺北市,北投區,中央北路４段
臺北市,北投區,中央南路１段
臺北市,北投區,中央南路２段
臺北市,北投區,中正街
臺北市,北投區,中和街
臺北市,北投區,中和街新建巷
臺北市,北投區,中和街錫安巷
臺北市,北投區,中華街
臺北市,北投區,中興路
臺北市,北投區,公?路
臺北市,北投區,文化三路
臺北市,北投區,文林北路
臺北市,北投區,北投路１段
臺北市,北投區,北投路２段
臺北市,北投區,民族街
臺北市,北投區,民權街
臺北市,北投區,永興路１段
臺北市,北投區,永興路２段
臺北市,北投區,石仙路
臺北市,北投區,石牌路１段
臺北市,北投區,石牌路２段
臺北市,北投區,立功街
臺北市,北投區,立農街１段
臺北市,北投區,立農街２段
臺北市,北投區,立德路
臺北市,北投區,立賢路
臺北市,北投區,光明路
臺北市,北投區,光明路新生巷
臺北市,北投區,吉利街
臺北市,北投區,同德街
臺北市,北投區,自強街
臺北市,北投區,行義路
臺北市,北投區,西安街１段
臺北市,北投區,西安街２段
臺北市,北投區,西園街
臺北市,北投區,杏林一路
臺北市,北投區,杏林二路
臺北市,北投區,杏林三路
臺北市,北投區,秀山路
臺北市,北投區,育仁路
臺北市,北投區,奉賢路
臺北市,北投區,奇岩路
臺北市,北投區,宜山路
臺北市,北投區,承德路６段
臺北市,北投區,承德路７段
臺北市,北投區,明德路
臺北市,北投區,東昇路
臺北市,北投區,東華街１段
臺北市,北投區,東華街２段
臺北市,北投區,東陽街
臺北市,北投區,知行路
臺北市,北投區,長壽路
臺北市,北投區,幽雅路
臺北市,北投區,幽雅路杏林巷
臺北市,北投區,建民路
臺北市,北投區,建國街
臺北市,北投區,泉源路
臺北市,北投區,泉源路華南巷
臺北市,北投區,洲美街
臺北市,北投區,致遠一路１段
臺北市,北投區,致遠一路２段
臺北市,北投區,致遠二路
臺北市,北投區,致遠三路
臺北市,北投區,重三路
臺北市,北投區,振華街
臺北市,北投區,振興街
臺北市,北投區,珠海路
臺北市,北投區,紗帽路
臺北市,北投區,崇仁路１段
臺北市,北投區,崇仰一路
臺北市,北投區,崇仰二路
臺北市,北投區,崇仰三路
臺北市,北投區,崇仰五路
臺北市,北投區,崇仰六路
臺北市,北投區,崇仰七路
臺北市,北投區,崇仰九路
臺北市,北投區,崗山路
臺北市,北投區,清江路
臺北市,北投區,勝利街
臺北市,北投區,富貴一路
臺北市,北投區,尊賢街
臺北市,北投區,復興一路
臺北市,北投區,復興二路
臺北市,北投區,復興三路
臺北市,北投區,復興四路
臺北市,北投區,湖山路１段
臺北市,北投區,湖山路２段
臺北市,北投區,湖底路
臺北市,北投區,登山路
臺北市,北投區,進賢路
臺北市,北投區,開明街
臺北市,北投區,新市街
臺北市,北投區,新民路
臺北市,北投區,新民路香丘巷
臺北市,北投區,新民路康樂巷
臺北市,北投區,新生街
臺北市,北投區,新興路
臺北市,北投區,溫泉路
臺北市,北投區,溫泉路天主巷
臺北市,北投區,溫泉路湯元巷
臺北市,北投區,溫泉路銀光巷
臺北市,北投區,義方街
臺北市,北投區,義理街
臺北市,北投區,聖景路
臺北市,北投區,裕民一路
臺北市,北投區,裕民二路
臺北市,北投區,裕民三路
臺北市,北投區,裕民四路
臺北市,北投區,裕民六路
臺北市,北投區,實踐街
臺北市,北投區,榮華一路
臺北市,北投區,榮華二路
臺北市,北投區,榮華三路
臺北市,北投區,福美路
臺北市,北投區,翠宜路
臺北市,北投區,翠華街
臺北市,北投區,翠雲街
臺北市,北投區,翠嶺路
臺北市,北投區,稻香路
臺北市,北投區,學園路
臺北市,北投區,樹林路
臺北市,北投區,磺港路
臺北市,北投區,豐年路１段
臺北市,北投區,豐年路２段
臺北市,北投區,雙全街
臺北市,北投區,懷德街
臺北市,北投區,關渡路
臺北市,內湖區,大湖山莊街
臺北市,內湖區,大湖街
臺北市,內湖區,五分街
臺北市,內湖區,內湖路２段
臺北市,內湖區,內湖路３段
臺北市,內湖區,文湖街
臺北市,內湖區,文德路
臺北市,內湖區,民善街
臺北市,內湖區,民權東路６段
臺北市,內湖區,永保街
臺北市,內湖區,石潭路
臺北市,內湖區,安美街
臺北市,內湖區,安泰街
臺北市,內湖區,安康路
臺北市,內湖區,成功路２段
臺北市,內湖區,成功路３段
臺北市,內湖區,成功路４段
臺北市,內湖區,成功路５段
臺北市,內湖區,江南街
臺北市,內湖區,行忠路
臺北市,內湖區,行善路
臺北市,內湖區,行愛路
臺北市,內湖區,東湖路
臺北市,內湖區,金莊路
臺北市,內湖區,金湖路
臺北市,內湖區,金龍路
臺北市,內湖區,金豐街
臺北市,內湖區,南京東路６段
臺北市,內湖區,星雲街
臺北市,內湖區,洲子街
臺北市,內湖區,康湖路
臺北市,內湖區,康寧路１段
臺北市,內湖區,康寧路３段
臺北市,內湖區,康樂街
臺北市,內湖區,堤頂大道１段
臺北市,內湖區,港華街
臺北市,內湖區,港墘路
臺北市,內湖區,陽光街
臺北市,內湖區,新明路
臺北市,內湖區,新富街
臺北市,內湖區,新湖一路
臺北市,內湖區,新湖二路
臺北市,內湖區,新湖三路
臺北市,內湖區,新豐街
臺北市,內湖區,瑞光路
臺北市,內湖區,瑞湖街
臺北市,內湖區,碧山路
臺北市,內湖區,潭美街
臺北市,內湖區,環山路１段
臺北市,內湖區,環山路２段
臺北市,內湖區,環山路３段
臺北市,內湖區,舊宗路１段
臺北市,內湖區,舊宗路２段
臺北市,內湖區,麗山街
臺北市,南港區,三重路
臺北市,南港區,中南街
臺北市,南港區,市民大道７段
臺北市,南港區,市民大道８段
臺北市,南港區,玉成街
臺北市,南港區,同德路
臺北市,南港區,向陽路
臺北市,南港區,合順街
臺北市,南港區,成功路１段
臺北市,南港區,成福路
臺北市,南港區,忠孝東路６段
臺北市,南港區,忠孝東路７段
臺北市,南港區,昆陽街
臺北市,南港區,東明街
臺北市,南港區,東南街
臺北市,南港區,東新街
臺北市,南港區,南深路
臺北市,南港區,南港路１段
臺北市,南港區,南港路２段
臺北市,南港區,南港路３段
臺北市,南港區,研究院路１段
臺北市,南港區,研究院路２段
臺北市,南港區,研究院路３段
臺北市,南港區,研究院路４段
臺北市,南港區,重陽路
臺北市,南港區,富康街
臺北市,南港區,惠民街
臺北市,南港區,港東街
臺北市,南港區,園區街
臺北市,南港區,新民街
臺北市,南港區,經貿一路
臺北市,南港區,經貿二路
臺北市,南港區,經園街
臺北市,南港區,福山街
臺北市,南港區,興中路
臺北市,南港區,興東街
臺北市,南港區,興南街
臺北市,南港區,興華路
臺北市,南港區,舊莊街１段
臺北市,南港區,舊莊街２段
臺北市,文山區,一壽街
臺北市,文山區,三福街
臺北市,文山區,下崙路
臺北市,文山區,久康街
臺北市,文山區,中崙路
臺北市,文山區,公館街
臺北市,文山區,木柵路１段
臺北市,文山區,木柵路２段
臺北市,文山區,木柵路３段
臺北市,文山區,木柵路４段
臺北市,文山區,木柵路５段
臺北市,文山區,木新路２段
臺北市,文山區,木新路３段
臺北市,文山區,仙岩路
臺北市,文山區,永安街
臺北市,文山區,汀州路４段
臺北市,文山區,光輝路
臺北市,文山區,老泉街
臺北市,文山區,秀明路１段
臺北市,文山區,秀明路２段
臺北市,文山區,育英街
臺北市,文山區,車前路
臺北市,文山區,辛亥路４段
臺北市,文山區,辛亥路５段
臺北市,文山區,辛亥路６段
臺北市,文山區,辛亥路７段
臺北市,文山區,和平東路４段
臺北市,文山區,和興路
臺北市,文山區,忠順街１段
臺北市,文山區,忠順街２段
臺北市,文山區,保儀路
臺北市,文山區,恆光街
臺北市,文山區,指南路１段
臺北市,文山區,指南路２段
臺北市,文山區,指南路３段
臺北市,文山區,政大一街
臺北市,文山區,政大二街
臺北市,文山區,政大三街
臺北市,文山區,富山路
臺北市,文山區,景中街
臺北市,文山區,景仁街
臺北市,文山區,景文街
臺北市,文山區,景明街
臺北市,文山區,景後街
臺北市,文山區,景美街
臺北市,文山區,景華街
臺北市,文山區,景隆街
臺北市,文山區,景福街
臺北市,文山區,景興路
臺北市,文山區,景豐街
臺北市,文山區,開元街
臺北市,文山區,集英街
臺北市,文山區,新光路１段
臺北市,文山區,新光路２段
臺北市,文山區,溪口街
臺北市,文山區,溪洲街
臺北市,文山區,萬安街
臺北市,文山區,萬利街
臺北市,文山區,萬和街
臺北市,文山區,萬芳路
臺北市,文山區,萬美街１段
臺北市,文山區,萬美街２段
臺北市,文山區,萬盛街
臺北市,文山區,萬隆街
臺北市,文山區,萬壽路
臺北市,文山區,萬寧街
臺北市,文山區,萬慶街
臺北市,文山區,試院路
臺北市,文山區,福興路
臺北市,文山區,樟新街
臺北市,文山區,興隆路１段
臺北市,文山區,興隆路２段
臺北市,文山區,興隆路３段
臺北市,文山區,興隆路４段
臺北市,文山區,興順街
臺北市,文山區,興德路
臺北市,文山區,羅斯福路５段
臺北市,文山區,羅斯福路６段
基隆市,仁愛區,仁一路
基隆市,仁愛區,仁二路
基隆市,仁愛區,仁三路
基隆市,仁愛區,仁四路
基隆市,仁愛區,仁五路
基隆市,仁愛區,公園街
基隆市,仁愛區,光一路
基隆市,仁愛區,光二路
基隆市,仁愛區,成功一路
基隆市,仁愛區,曲水街
基隆市,仁愛區,自來街
基隆市,仁愛區,孝一路
基隆市,仁愛區,孝二路
基隆市,仁愛區,孝三路
基隆市,仁愛區,孝四路
基隆市,仁愛區,延平街
基隆市,仁愛區,忠一路
基隆市,仁愛區,忠二路
基隆市,仁愛區,忠三路
基隆市,仁愛區,忠四路
基隆市,仁愛區,南新街
基隆市,仁愛區,南榮路
基隆市,仁愛區,崇安街
基隆市,仁愛區,復興街
基隆市,仁愛區,港西街
基隆市,仁愛區,華一街
基隆市,仁愛區,華二街
基隆市,仁愛區,華三街
基隆市,仁愛區,華四街
基隆市,仁愛區,華五街
基隆市,仁愛區,華六街
基隆市,仁愛區,愛一路
基隆市,仁愛區,愛二路
基隆市,仁愛區,愛三路
基隆市,仁愛區,愛四路
基隆市,仁愛區,愛五路
基隆市,仁愛區,愛六路
基隆市,仁愛區,愛七路
基隆市,仁愛區,愛九路
基隆市,仁愛區,獅球路
基隆市,仁愛區,精一路
基隆市,仁愛區,劉銘傳路
基隆市,仁愛區,龍安街
基隆市,信義區,六和街
基隆市,信義區,月眉路
基隆市,信義區,正信路
基隆市,信義區,孝東路
基隆市,信義區,東光路
基隆市,信義區,東明路
基隆市,信義區,東信路
基隆市,信義區,東美一街
基隆市,信義區,東美二街
基隆市,信義區,東峰街
基隆市,信義區,花源一街
基隆市,信義區,花源一街地下層店鋪
基隆市,信義區,花源三街
基隆市,信義區,花源五街
基隆市,信義區,花源七街
基隆市,信義區,花源九街
基隆市,信義區,信一路
基隆市,信義區,信二路
基隆市,信義區,培德路
基隆市,信義區,崇法街
基隆市,信義區,教孝街
基隆市,信義區,教忠街
基隆市,信義區,深美街
基隆市,信義區,深溪路
基隆市,信義區,深澳坑路
基隆市,信義區,義三路
基隆市,信義區,義四路
基隆市,信義區,義五路
基隆市,信義區,義六路
基隆市,信義區,義七路
基隆市,信義區,義九路
基隆市,信義區,壽山路
基隆市,信義區,福民街
基隆市,中正區,八斗街
基隆市,中正區,中船路
基隆市,中正區,平一路
基隆市,中正區,平二路
基隆市,中正區,平三路
基隆市,中正區,正義路
基隆市,中正區,正榮街
基隆市,中正區,正濱路
基隆市,中正區,正豐街
基隆市,中正區,和一路
基隆市,中正區,和二路
基隆市,中正區,和平街
基隆市,中正區,東海街
基隆市,中正區,武昌街
基隆市,中正區,花瓶嶼
基隆市,中正區,信三路
基隆市,中正區,信四路
基隆市,中正區,信五路
基隆市,中正區,信六路
基隆市,中正區,信七路
基隆市,中正區,基隆嶼
基隆市,中正區,祥豐街
基隆市,中正區,彭佳嶼
基隆市,中正區,棉花嶼
基隆市,中正區,義一路
基隆市,中正區,義二路
基隆市,中正區,漁港一街
基隆市,中正區,漁港二街
基隆市,中正區,漁港三街
基隆市,中正區,調和街
基隆市,中正區,環港街
基隆市,中正區,豐稔街
基隆市,中正區,觀海街
基隆市,中山區,中山一路
